date,temperature
2023-06-21T15:00:00,0
2023-06-21T16:00:00,0.07
2023-06-22T10:00:00,1.28
2023-06-22T11:00:00,0.04
2023-06-22T12:00:00,0.39
2023-06-22T13:00:00,0.85
2023-06-22T14:00:00,0.1
2023-06-22T15:00:00,0.78
2023-06-22T16:00:00,0
2023-06-22T17:00:00,0.11
2023-06-22T18:00:00,0.08
2023-06-22T19:00:00,0.06
2023-06-22T20:00:00,0.06
2023-06-22T21:00:00,0.01
2023-06-23T08:00:00,0
2023-06-23T09:00:00,0
2023-06-23T10:00:00,0.02
2023-06-26T08:00:00,0.01
2023-06-26T09:00:00,0.03
2023-06-26T20:00:00,0
2023-06-26T21:00:00,0
2023-06-26T22:00:00,0
2023-06-27T00:00:00,0
2023-06-27T01:00:00,0
2023-06-27T02:00:00,0
2023-06-27T03:00:00,0
2023-06-27T04:00:00,0
2023-06-27T05:00:00,0
2023-06-27T06:00:00,0.03
2023-06-27T07:00:00,0.07
2023-06-27T08:00:00,0.14
2023-06-27T09:00:00,0.2
2023-06-27T10:00:00,0.48
2023-06-27T11:00:00,0.5
2023-06-27T12:00:00,0.5
2023-06-27T13:00:00,0.85
2023-06-27T14:00:00,0.22
2023-06-27T15:00:00,0.62
2023-06-27T16:00:00,0.05
2023-06-27T17:00:00,0.03
2023-06-27T18:00:00,0.12
2023-06-27T19:00:00,0.04
2023-06-27T20:00:00,0.02
2023-06-27T21:00:00,0.01
2023-06-27T22:00:00,0
2023-06-28T00:00:00,0
2023-06-28T01:00:00,0
2023-06-28T02:00:00,0
2023-06-28T03:00:00,0
2023-06-28T04:00:00,0
2023-06-28T05:00:00,0.01
2023-06-28T06:00:00,0.04
2023-06-28T07:00:00,0.09
2023-06-28T08:00:00,0.18
2023-06-28T09:00:00,0.22
2023-06-28T10:00:00,0.42
2023-06-28T11:00:00,0.5
2023-06-28T12:00:00,0.43
2023-06-28T13:00:00,0.45
2023-06-28T14:00:00,0.64
2023-06-28T15:00:00,0.43
2023-06-28T16:00:00,0.19
2023-06-28T17:00:00,0.14
2023-06-28T18:00:00,0.13
2023-06-28T19:00:00,0.07
2023-06-28T20:00:00,0.03
2023-06-28T21:00:00,0
2023-06-28T22:00:00,0
2023-06-29T00:00:00,0
2023-06-29T01:00:00,0
2023-06-29T02:00:00,0
2023-06-29T03:00:00,0
2023-06-29T04:00:00,0.01
2023-06-29T05:00:00,0
2023-06-29T06:00:00,0.04
2023-06-29T07:00:00,0.07
2023-06-29T08:00:00,0.09
2023-06-29T09:00:00,0.28
2023-06-29T10:00:00,0.21
2023-06-29T12:00:00,0.39
2023-06-30T13:00:00,0.41
2023-06-30T14:00:00,0.26
2023-06-30T15:00:00,0
2023-06-30T16:00:00,0.19
2023-06-30T17:00:00,0.06
2023-06-30T18:00:00,0.07
2023-06-30T19:00:00,0.06
2023-06-30T20:00:00,0.02
2023-06-30T21:00:00,0
2023-06-30T22:00:00,0
2023-06-30T23:00:00,0
2023-07-01T00:00:00,0
2023-07-01T01:00:00,0
2023-07-01T02:00:00,0
2023-07-01T03:00:00,0
2023-07-01T04:00:00,0
2023-07-01T05:00:00,0.01
2023-07-01T06:00:00,0.04
2023-07-01T07:00:00,0.08
2023-07-01T08:00:00,0.11
2023-07-01T09:00:00,0.14
2023-07-01T10:00:00,0.5
2023-07-01T11:00:00,0.85
2023-07-01T12:00:00,0.85
2023-07-01T13:00:00,0.62
2023-07-01T14:00:00,0.41
2023-07-01T15:00:00,0.18
2023-07-01T16:00:00,0.1
2023-07-01T17:00:00,0.09
2023-07-01T18:00:00,0.05
