date,temperature
2023-06-21T16:00:00,0.07
2023-06-22T10:00:00,1.28
2023-06-22T11:00:00,0.04
2023-06-22T12:00:00,0.39
2023-06-22T13:00:00,0.85
2023-06-22T14:00:00,0.1
2023-06-22T15:00:00,0.78
2023-06-22T17:00:00,0.11
2023-06-22T18:00:00,0.08
2023-06-22T19:00:00,0.06
2023-06-22T20:00:00,0.06
2023-06-22T21:00:00,0.01
2023-06-23T10:00:00,0.02
2023-06-26T08:00:00,0.01
2023-06-26T09:00:00,0.03
2023-06-27T06:00:00,0.03
2023-06-27T07:00:00,0.07
2023-06-27T08:00:00,0.14
2023-06-27T09:00:00,0.2
2023-06-27T10:00:00,0.48
2023-06-27T11:00:00,0.5
2023-06-27T12:00:00,0.5
2023-06-27T13:00:00,0.85
2023-06-27T14:00:00,0.22
2023-06-27T15:00:00,0.62
2023-06-27T16:00:00,0.05
2023-06-27T17:00:00,0.03
2023-06-27T18:00:00,0.12
2023-06-27T19:00:00,0.04
2023-06-27T20:00:00,0.02
2023-06-27T21:00:00,0.01
2023-06-28T05:00:00,0.01
2023-06-28T06:00:00,0.04
2023-06-28T07:00:00,0.09
2023-06-28T08:00:00,0.18
2023-06-28T09:00:00,0.22
2023-06-28T10:00:00,0.42
2023-06-28T11:00:00,0.5
2023-06-28T12:00:00,0.43
2023-06-28T13:00:00,0.45
2023-06-28T14:00:00,0.64
2023-06-28T15:00:00,0.43
2023-06-28T16:00:00,0.19
2023-06-28T17:00:00,0.14
2023-06-28T18:00:00,0.13
2023-06-28T19:00:00,0.07
2023-06-28T20:00:00,0.03
2023-06-29T04:00:00,0.01
2023-06-29T06:00:00,0.04
2023-06-29T07:00:00,0.07
2023-06-29T08:00:00,0.09
2023-06-29T09:00:00,0.28
2023-06-29T10:00:00,0.21
2023-06-29T12:00:00,0.39
2023-06-30T13:00:00,0.41
2023-06-30T14:00:00,0.26
2023-06-30T16:00:00,0.19
2023-06-30T17:00:00,0.06
2023-06-30T18:00:00,0.07
2023-06-30T19:00:00,0.06
2023-06-30T20:00:00,0.02
2023-07-01T05:00:00,0.01
2023-07-01T06:00:00,0.04
2023-07-01T07:00:00,0.08
2023-07-01T08:00:00,0.11
2023-07-01T09:00:00,0.14
2023-07-01T10:00:00,0.5
2023-07-01T11:00:00,0.85
2023-07-01T12:00:00,0.85
2023-07-01T13:00:00,0.62
2023-07-01T14:00:00,0.41
2023-07-01T15:00:00,0.18
2023-07-01T16:00:00,0.1
2023-07-01T17:00:00,0.09
2023-07-01T18:00:00,0.05
2023-07-01T19:00:00,0.03
2023-07-01T20:00:00,0.01
2023-07-02T05:00:00,0.01
2023-07-02T06:00:00,0.04
2023-07-02T07:00:00,0.09
2023-07-02T08:00:00,0.16
2023-07-02T09:00:00,0.25
2023-07-02T10:00:00,0.14
2023-07-02T11:00:00,0.46
2023-07-02T12:00:00,0.51
2023-07-02T13:00:00,0.75
2023-07-02T14:00:00,0.55
2023-07-02T15:00:00,0.43
2023-07-02T16:00:00,0.16
2023-07-02T17:00:00,0.11
2023-07-02T18:00:00,0.07
2023-07-02T19:00:00,0.05
2023-07-02T20:00:00,0.02
2023-07-02T21:00:00,0.01
2023-07-03T06:00:00,0.04
2023-07-03T07:00:00,0.1
2023-07-03T08:00:00,0.01
2023-07-03T09:00:00,0.22
2023-07-03T10:00:00,0.44
2023-07-03T11:00:00,0.57
2023-07-03T12:00:00,0.55
2023-07-03T13:00:00,0.31
2023-07-03T14:00:00,0.36
2023-07-03T20:00:00,0.88
2023-07-03T21:00:00,0.01
2023-07-04T08:00:00,0.27
2023-07-04T09:00:00,0.21
2023-07-04T10:00:00,0.39
2023-07-04T11:00:00,0.66
2023-07-04T12:00:00,0.67
2023-07-04T13:00:00,0.17
